ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_undefined_Total,E_24_undefined_Dem,E_24_undefined_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,131227,100529,8793,3520,16945,1914,801,0,0,150919,105242,12236,4607,27924,2071,1193,0,0,157201,100994,13413,5916,31910,3804,1331,157284,101042,13414,5926,31914,3806,1334,154988,105741,13188,5068,29434,2013,892,3131,23769,262,307,7684,158895,105101,13033,5837,31867,2467,1105,100925,79896,5578,2131,11998,1336,536,0,0,103435,81327,5585,2191,12266,1122,355,1542,10662,188,355,712,0,122252,82471,8987,3826,22866,2795,904,122252,82471,8987,2586,19902,438,327,6761,105198,82341,5791,2602,12663,1117,248,0,0,0,0,108072,83078,5960,3052,13768,1248,203,2383,12292,218,203,109021,81323,6118,3350,15686,1405,274,2540,13913,339,274,69338,44344,23844,67879,43667,24212,74450,48651,20056,75834,50047,25787,75647,45608,30039,70023,50763,0,70276,39604,30672,72353,45511,26842,72576,36003,36573,62364,0,62364,70911,48018,22893,81637,55253,24934,90932,64157,23802,90149,61903,27904,87891,58706,29147,86424,59283,27103,82478,70073,0,87821,45727,42027,86839,53915,32898,80508,54980,24055,69279,48493,20631,67635,40584,2007,68778,48551,20129,81255,51255,29918,82490,57142,24290,85547,60019,22041,83688,58857,24630,84284,56435,27683,81827,54811,26954,81114,56770,24283,82306,55242,26975,81998,58724,23198,81465,56066,25344,82527,57828,24514
2,2,130029,100263,9613,7198,8454,4775,2723,0,0,147449,107561,12726,10696,11974,6218,2936,0,0,157168,106941,16691,11372,12891,7963,4799,157437,107123,16695,11403,12897,7978,4804,152913,111616,14561,10039,10561,6094,3746,6417,6051,1926,2143,10047,157403,108927,16843,12140,12432,6847,4262,96110,77310,5531,4212,5586,3020,1559,0,0,106679,82692,6941,5776,5655,3623,819,4883,4249,2050,819,1349,0,118264,84712,10296,7050,8915,5376,2976,118264,84712,10296,4857,5892,1517,1964,8258,110288,86026,7515,5513,5513,3385,1372,0,0,0,0,113506,85833,8707,6456,6625,3160,1288,5246,4798,1403,1288,114698,83461,10669,6604,7284,3115,1866,5304,5367,1166,1866,56014,27330,27417,55195,27247,27948,58671,22043,31283,59154,27480,31674,59145,24300,34845,54598,30752,0,56427,23794,32633,57285,23243,34042,57659,19032,38627,51642,0,51642,55596,23366,32230,68848,28110,39454,81198,33121,44970,80661,31080,49330,78503,31345,47041,77781,32874,44825,73148,50617,0,78747,25061,53564,77874,30723,47052,68572,27369,39894,57877,23192,34505,56118,19513,3004,57414,23966,33217,76607,29433,47015,75271,30740,43655,79803,32614,44412,77668,33701,43757,78856,30597,48042,77065,31042,45950,76587,32345,44175,77568,31530,45963,77108,33295,43740,76676,31626,44985,77627,33979,43488
3,3,141797,119972,6750,5660,5197,5102,976,0,0,147154,121610,8696,6104,6118,5400,949,0,0,156591,121928,10932,7471,7001,7753,2113,157244,122365,10948,7571,7004,7789,2118,149715,121657,9430,6777,6631,5282,1470,3416,3769,1772,815,8577,155020,124149,10800,7342,7075,6250,1906,111667,97405,4282,3166,3631,3387,604,0,0,113840,98193,5283,3300,2998,3374,224,2241,2204,1638,224,531,0,125230,100792,7455,4624,5023,5663,1298,125230,100792,7455,2994,3187,1978,800,7346,115966,98953,5975,3987,3378,3144,333,0,0,0,0,122094,103002,6839,4269,3710,3384,322,2712,2343,1388,322,121762,101783,7753,4486,3843,3225,176,2907,2393,995,176,66013,38252,25983,63296,36726,26570,65434,35270,24110,66392,40199,26193,66336,38148,28188,61562,40384,0,62634,34700,27934,63937,35394,28543,63597,30020,33577,55673,0,55673,66933,41809,25124,74014,44127,28764,84112,50165,30597,83566,49285,33950,80677,48335,32236,79833,48364,31363,73686,61350,0,80568,41792,38645,79977,45210,34665,73275,43689,28436,61506,37251,24124,59381,31342,2332,61396,36084,25186,74665,41868,32663,75013,45292,29025,78320,46857,28223,75646,46745,28678,76811,45936,30771,75210,43861,31254,74866,45517,29310,75463,43814,31595,75313,46410,28827,75001,45197,29724,76489,43158,33190
4,4,136266,121971,5562,2390,3449,3276,567,0,0,148951,130723,7894,2909,4484,3281,1052,0,0,157051,129864,9816,4485,5164,6122,1477,157261,130020,9819,4509,5165,6134,1479,151937,131372,8614,3213,4604,4171,1040,1480,2377,1354,634,6067,159882,135415,9882,4094,5356,4895,866,103054,94261,3241,1199,2251,2139,348,0,0,111849,101553,4012,1487,2194,1800,418,1047,1573,820,418,388,0,121889,103751,6201,2578,3540,4290,902,121889,103751,6201,1556,2259,1108,538,5947,114250,103470,4014,1540,2225,2220,303,0,0,0,0,121387,108087,5561,1725,2786,2503,152,1227,1711,868,152,124149,109878,5849,1692,3340,2671,289,1128,1967,696,289,64463,27692,35014,64232,26763,37469,67660,23492,38228,68655,30025,38630,68582,27804,40778,62783,33259,0,65462,25093,40369,66489,24061,42428,66174,20552,45622,59742,0,59742,66840,28540,38300,77287,30565,45377,88598,34488,50805,88236,33155,54788,85267,33687,51466,84481,34316,50067,75809,53225,0,85163,28569,56458,84686,31410,53179,76937,29837,45734,66388,25535,40721,63989,22352,4415,66193,24147,41881,83389,29092,54148,82365,32139,49375,87098,33889,50252,84019,34691,49060,85629,33098,52393,83952,31021,52833,83619,32803,50762,84258,30571,53631,84020,33688,50239,83786,33026,50661,85341,30091,55117
5,5,134710,109548,7403,2695,13200,2210,840,0,0,155462,115870,11132,3928,22625,2710,1034,0,0,157268,109452,12106,4926,25650,4374,1250,157378,109533,12108,4935,25652,4378,1252,154812,113125,11934,3640,23904,2674,1101,1811,18659,621,229,7901,156248,110069,11450,4254,27031,2840,1192,99896,83929,4370,1488,8624,1452,466,0,0,105935,88472,4365,1923,9127,1386,175,1508,7954,405,175,514,0,118049,86328,7651,2907,17180,3014,762,118049,86328,7651,1755,14807,565,239,6168,106925,89365,4842,1633,8958,1597,208,0,0,0,0,107203,87342,5413,1756,10113,1848,272,1302,8230,560,272,107271,84755,5593,1938,12239,1770,252,1279,9825,431,252,68423,37619,29602,66409,35262,31147,73710,38971,28931,75072,40990,34082,75115,36520,38595,68164,44273,0,69754,31796,37958,71764,36213,35551,72092,28711,43381,63460,0,63460,73599,40821,32778,82917,45630,35894,93388,53764,36452,92763,50795,41649,89927,48379,41461,88471,49358,39062,82143,64538,0,90109,37127,52891,88914,44835,44020,82453,45674,35355,72418,41253,30994,69887,34412,2896,72173,42665,29316,85733,43915,41705,86344,48518,36800,90146,51817,34815,87998,51113,36705,89110,46562,42323,86188,46547,39593,85418,48511,36858,86895,47083,39728,86364,50574,35725,85829,48130,37648,86659,52051,34413
6,6,139184,118466,6812,4334,5046,4760,1443,0,0,147567,121134,9496,6049,6118,5817,2461,0,0,158883,124149,10751,6497,7443,7838,2788,157252,123152,10707,6344,7421,7754,2770,149700,122914,9636,5884,6461,5480,2180,3084,3916,1700,1440,6655,157806,128189,10296,7231,6690,4939,2375,105063,91927,4069,2541,3404,3010,817,0,0,109792,94965,5280,2541,3017,2967,429,1914,2267,1564,429,637,0,122031,98641,6984,3960,5226,5459,1653,122031,98641,6984,2615,3466,1863,1127,6811,111351,96211,5387,2577,3203,3021,474,0,0,0,0,117254,100393,6133,3286,3396,2876,642,2436,2379,1149,642,121524,102480,7090,4106,3396,2886,841,3024,2356,1131,841,60826,27885,31368,60484,27124,33360,63084,24051,33610,64099,30211,33888,63981,27934,36047,58470,32514,0,60744,25018,35726,61800,24423,37377,61535,20745,40790,55677,0,55677,62202,28670,33532,71692,30989,39517,81975,35076,43841,81500,33876,47335,78654,33962,44581,77959,34533,43319,70593,50714,0,78643,29063,49434,78180,31741,46327,71111,30230,39672,60780,25625,35019,58226,22539,3706,60643,24379,36108,76330,29420,46753,75766,32540,42470,80053,34214,42984,77189,34980,41928,78552,33321,45121,76931,31454,45376,76577,33123,43398,77158,31140,45957,77015,33901,43024,76728,33216,43419,78238,30455,47661
7,7,147508,114645,18743,1104,1724,12224,438,0,0,153505,115484,22623,1812,2575,12016,906,0,0,157002,113318,23523,1627,2592,15214,674,157313,113537,23530,1631,2592,15246,675,155073,115803,23211,1801,2490,12105,855,464,1040,7909,318,6209,156995,114049,25069,2317,2550,12496,1002,111683,91476,10811,536,1068,8136,234,0,0,110678,93271,7227,665,993,7914,268,393,674,5850,268,334,0,122435,92990,15174,920,1737,10492,436,122435,92990,15174,424,953,6513,157,5548,112590,94248,7825,827,1022,8107,283,0,0,0,0,113810,94840,8514,844,1105,7894,239,386,644,5251,239,118084,97702,9515,896,1275,8137,290,435,667,5206,290,67201,26857,37992,64271,24546,39725,68338,20604,42721,69052,27832,41220,69044,24835,44209,61766,32114,0,65469,22753,42716,66586,21520,45066,66527,18841,47686,58697,0,58697,67145,24608,42537,76765,26415,49458,87155,29332,55500,86875,27397,59200,84356,28500,55724,83607,29155,54347,73982,44247,0,84497,24484,59915,83836,26999,56763,76717,25448,50349,68472,21819,46512,64672,19193,5932,67671,20214,46655,83211,24048,58996,82126,27099,54503,86206,27949,55456,83733,30115,53367,85142,26981,57986,83492,26055,57363,83206,27419,55713,83926,25737,58080,83624,28171,55369,83199,27558,55545,47178,12139,34954
8,8,129080,93988,26004,2934,4704,2164,483,0,0,146804,101772,33444,4140,6228,2528,799,0,0,156927,100197,40089,4240,7371,5150,1108,157223,100354,40099,4275,7376,5160,1110,149317,102917,34374,3850,6674,2939,613,2553,4341,820,73,3895,154658,102463,37623,4791,7000,3191,761,93013,72185,14806,1629,3131,1475,275,0,0,97684,77965,13192,1994,2715,1330,90,1590,2210,612,90,435,0,114196,78397,24404,2450,4889,3581,666,114196,78397,24404,1589,3702,663,314,4593,100171,79959,13544,2028,3060,1270,59,0,0,0,0,104610,80740,16733,2159,3082,1522,140,1672,2605,536,140,107900,79990,19747,2537,3733,1508,206,1799,3130,473,206,53053,18550,33566,57490,19918,37572,59613,19306,35768,61061,25948,35113,60950,22560,38390,55794,30812,0,57819,19966,37853,58993,19544,39449,58777,15663,43114,53926,0,53926,55888,20431,35457,67509,24913,41569,77566,28769,45970,77228,27384,49559,75022,27514,47429,74263,28616,45580,67459,43114,0,74903,22009,52821,74630,23980,50587,66866,23667,42156,57518,18702,38728,55358,16825,7007,56618,16255,39229,72984,23400,49455,71962,26024,45229,76092,27765,45832,73880,29273,44377,74779,26278,48359,73542,25262,48223,73162,27327,45779,73676,25099,48499,73597,28150,45380,73289,27410,45819,0,0,0
9,9,140754,119072,10592,2443,6276,2977,641,0,0,154374,125084,14445,4055,8083,4447,904,0,0,156945,123272,15215,3984,8301,5536,1067,157117,123407,15218,3989,8301,5545,1068,154885,125494,14493,3989,8082,3907,694,2175,5994,777,210,5215,156230,124292,15060,3816,8728,4003,1028,112038,96619,6825,1672,5105,2045,438,0,0,115701,100402,7010,2108,3453,2065,210,1524,2638,655,210,566,0,125656,100713,10650,2831,6610,4117,765,125656,100713,10650,1737,4679,996,272,6039,116960,101567,7158,1958,3651,2095,215,0,0,0,0,119101,102417,7924,1917,4177,2154,155,1208,3057,747,155,120556,102224,8443,2217,4761,2264,168,1217,3200,705,168,65877,28047,36017,64229,25853,38376,66419,24162,36495,67472,30203,37269,67428,27374,40054,60749,33717,0,63820,24383,39437,65001,24395,40606,64937,20149,44788,57718,0,57718,65914,28604,37310,74007,30348,42501,83324,34023,46434,82859,32714,49863,80294,32536,47669,79535,33073,46359,70377,50123,0,80409,27128,53156,79800,29752,49936,73923,29625,43117,65821,25182,40511,62436,22048,2977,65618,23591,41858,78613,27439,51041,78192,31171,46309,82021,32918,46124,79792,33845,45754,80840,31365,49324,79023,29760,49182,78816,31683,47071,79535,29591,49863,79211,32350,46769,78853,31340,47436,78985,28516,50369
