stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url
MD,2018,67,lower,Districts for the 2018 Lower State House,MD 2018 Lower State House,af64ba50-9cec-40d6-9cf2-f934074d37be,5fe21d07-b676-4acb-bd37-3ec2d852914c.png,NA,https://davesredistricting.org/maps#viewmap::af64ba50-9cec-40d6-9cf2-f934074d37be
MD,2018,47,upper,Districts for the 2018 Upper State House,MD 2018 Upper State House,05f88f2e-eb5a-4115-afd3-97566ecd07c7,ec6a12ab-d404-4348-97c6-73eaaaba89e7.png,NA,https://davesredistricting.org/maps#viewmap::05f88f2e-eb5a-4115-afd3-97566ecd07c7
MD,2020,8,congress,MD 2020 Congressional,MD 2020 Congressional,c35703c2-6cd0-4f1d-9fae-5a0826507cfb,NA,NA,https://davesredistricting.org/maps#viewmap::c35703c2-6cd0-4f1d-9fae-5a0826507cfb
MD,2020,67,lower,MD 2020 State House Revised,MD 2020 State House,201a40ac-bc4d-4676-9cf3-95db3cb599b1,NA,NA,https://davesredistricting.org/maps#viewmap::201a40ac-bc4d-4676-9cf3-95db3cb599b1
MD,2020,47,upper,MD 2020 State Senate,MD 2020 State Senate,c3244696-9641-4055-88d4-3a49b63bd99c,NA,NA,https://davesredistricting.org/maps#viewmap::c3244696-9641-4055-88d4-3a49b63bd99c
MD,2022,8,congress,MD 2022 Congressional,MD 2022 Congressional,a365ecbd-db5f-4c84-a77f-90310c6a6c1a,NA,NA,https://davesredistricting.org/maps#viewmap::a365ecbd-db5f-4c84-a77f-90310c6a6c1a
MD,2022,71,lower,MD 2022 State House,MD 2022 State House,4cf1f21b-2347-457a-bbca-f299c7a8cb2b,NA,NA,https://davesredistricting.org/maps#viewmap::4cf1f21b-2347-457a-bbca-f299c7a8cb2b
MD,2022,47,upper,MD 2022 State Senate,MD 2022 State Senate,92ad6e43-2394-4957-b30a-828ca424a034,NA,NA,https://davesredistricting.org/maps#viewmap::92ad6e43-2394-4957-b30a-828ca424a034
ME,115,2,congress,Districts for the 116th US Congress,ME 116th Congressional,9e5d4508-5a2e-4bc2-a0bc-ef716a9abf79,d3ac2e51-a7ea-4107-ac85-9600d9f90f80.png,NA,https://davesredistricting.org/maps#viewmap::9e5d4508-5a2e-4bc2-a0bc-ef716a9abf79
ME,116,2,congress,Districts for the 116th US Congress,ME 116th Congressional,9e5d4508-5a2e-4bc2-a0bc-ef716a9abf79,d3ac2e51-a7ea-4107-ac85-9600d9f90f80.png,NA,https://davesredistricting.org/maps#viewmap::9e5d4508-5a2e-4bc2-a0bc-ef716a9abf79
ME,2018,151,lower,Districts for the 2018 Lower State House,ME 2018 Lower State House,bfa42ae5-4f24-42d7-88f2-1aaff619b408,0927b3e6-5354-4690-850c-6850cb21fa1b.png,NA,https://davesredistricting.org/maps#viewmap::bfa42ae5-4f24-42d7-88f2-1aaff619b408
ME,2018,35,upper,Districts for the 2018 Upper State House,ME 2018 Upper State House,6833ceac-aca7-480b-aa64-b6bbeba6f9a7,c1e1fae4-aad6-49fd-89f4-fd7084cd45a9.png,NA,https://davesredistricting.org/maps#viewmap::6833ceac-aca7-480b-aa64-b6bbeba6f9a7
ME,2020,2,congress,ME 2020 Congressional,ME 2020 Congressional,9fd5b08c-1830-4d60-a0c8-387c764ecfb0,NA,NA,https://davesredistricting.org/maps#viewmap::9fd5b08c-1830-4d60-a0c8-387c764ecfb0
ME,2020,151,lower,ME 2020 State House,ME 2020 State House,933cef6d-489a-4273-88e5-c0552e115a98,NA,NA,https://davesredistricting.org/maps#viewmap::933cef6d-489a-4273-88e5-c0552e115a98
ME,2020,35,upper,ME 2020 State Senate,ME 2020 State Senate,87060e31-2035-4bb2-a1fe-213b6e3fb0f3,NA,NA,https://davesredistricting.org/maps#viewmap::87060e31-2035-4bb2-a1fe-213b6e3fb0f3
ME,2022,2,congress,ME 2022 Congressional,ME 2022 Congressional,91042741-7e4e-423f-8a96-313236f71ac1,NA,NA,https://davesredistricting.org/maps#viewmap::91042741-7e4e-423f-8a96-313236f71ac1
ME,2022,151,lower,ME 2022 State House,ME 2022 State House,0ceefdda-ed1c-45e2-9f4a-e887394b5985,NA,NA,https://davesredistricting.org/maps#viewmap::0ceefdda-ed1c-45e2-9f4a-e887394b5985
ME,2022,35,upper,ME 2022 State Senate,ME 2022 State Senate,9916fa38-8d7a-498b-beb7-af2e530453c7,NA,NA,https://davesredistricting.org/maps#viewmap::9916fa38-8d7a-498b-beb7-af2e530453c7
MI,115,14,congress,Districts for the 116th US Congress,MI 116th Congressional,93fb7816-4a76-4b4b-a90f-5504f3f1d96e,ada80ff1-aaf5-4a9b-9fc5-491381df3061.png,NA,https://davesredistricting.org/maps#viewmap::93fb7816-4a76-4b4b-a90f-5504f3f1d96e
MI,116,14,congress,Districts for the 116th US Congress,MI 116th Congressional,93fb7816-4a76-4b4b-a90f-5504f3f1d96e,ada80ff1-aaf5-4a9b-9fc5-491381df3061.png,NA,https://davesredistricting.org/maps#viewmap::93fb7816-4a76-4b4b-a90f-5504f3f1d96e
MI,2018,110,lower,Districts for the 2018 Lower State House,MI 2018 Lower State House,321679fb-69a2-4489-a195-78a0f3e40bec,89641e55-a994-4379-b36c-ae5d0a2a2a6d.png,NA,https://davesredistricting.org/maps#viewmap::321679fb-69a2-4489-a195-78a0f3e40bec
MI,2018,38,upper,Districts for the 2018 Upper State House,MI 2018 Upper State House,bfd73815-53fa-4840-84f3-2e8d19cac4a5,fa0d3fa1-8d4a-4272-9300-27a51e067e47.png,NA,https://davesredistricting.org/maps#viewmap::bfd73815-53fa-4840-84f3-2e8d19cac4a5
MI,2020,14,congress,MI 2020 Congressional,MI 2020 Congressional,5a43a57b-ba16-4a6d-ad53-1fcfcd8a253b,NA,NA,https://davesredistricting.org/maps#viewmap::5a43a57b-ba16-4a6d-ad53-1fcfcd8a253b
MI,2020,110,lower,MI 2020 State House,MI 2020 State House,9c633615-dc5f-4b6f-87ce-fe72ca5852c6,NA,NA,https://davesredistricting.org/maps#viewmap::9c633615-dc5f-4b6f-87ce-fe72ca5852c6
MI,2020,38,upper,MI 2020 State Senate,MI 2020 State Senate,e80b756a-c0b6-4e22-9973-1de7a9d806a5,NA,NA,https://davesredistricting.org/maps#viewmap::e80b756a-c0b6-4e22-9973-1de7a9d806a5
MI,2022,13,congress,MI 2022 Congressional,MI 2022 Congressional,287ace43-1a66-4686-b596-949f578971a8,NA,NA,https://davesredistricting.org/maps#viewmap::287ace43-1a66-4686-b596-949f578971a8
MI,2022,110,lower,MI 2022 State House,MI 2022 State House,8f2d562d-9d7f-4d3b-992e-5c52debd8f08,NA,NA,https://davesredistricting.org/maps#viewmap::8f2d562d-9d7f-4d3b-992e-5c52debd8f08
MI,2022,38,upper,MI 2022 State Senate,MI 2022 State Senate,7563fcf7-de01-411a-aa51-c56cf76340b0,NA,NA,https://davesredistricting.org/maps#viewmap::7563fcf7-de01-411a-aa51-c56cf76340b0
MI,2024,110,lower,MI 2024 State House,MI 2024 State House,e24c9c82-a8de-4706-9ebb-91181592c37f,NA,NA,https://davesredistricting.org/maps#viewmap::e24c9c82-a8de-4706-9ebb-91181592c37f
MI,2026,38,upper,MI 2026 State Senate,MI 2026 State Senate,4cd32ab3-57e5-4bd7-9825-ed19122d14c8,NA,NA,https://davesredistricting.org/maps#viewmap::4cd32ab3-57e5-4bd7-9825-ed19122d14c8
MN,115,8,congress,Districts for the 116th US Congress,MN 116th Congressional,aff51588-afa7-4f38-9d68-9a9a6775a2a4,c2934158-4fd2-4f9e-a31b-ff2f8227909c.png,NA,https://davesredistricting.org/maps#viewmap::aff51588-afa7-4f38-9d68-9a9a6775a2a4
MN,116,8,congress,Districts for the 116th US Congress,MN 116th Congressional,aff51588-afa7-4f38-9d68-9a9a6775a2a4,c2934158-4fd2-4f9e-a31b-ff2f8227909c.png,NA,https://davesredistricting.org/maps#viewmap::aff51588-afa7-4f38-9d68-9a9a6775a2a4
MN,2018,134,lower,Districts for the 2018 Lower State House,MN 2018 Lower State House,1665fa02-f790-43b9-a2cc-ff9566604e0f,c707cf54-a9c8-4d2e-8d6c-f44b1826b515.png,NA,https://davesredistricting.org/maps#viewmap::1665fa02-f790-43b9-a2cc-ff9566604e0f
MN,2018,67,upper,Districts for the 2018 Upper State House,MN 2018 Upper State House,c89fa7c8-e41e-4c0a-bcb3-357acd000226,792d1273-d76f-44c0-aff2-89a1bb1a90e1.png,NA,https://davesredistricting.org/maps#viewmap::c89fa7c8-e41e-4c0a-bcb3-357acd000226
MN,2020,8,congress,MN 2020 Congressional,MN 2020 Congressional,f27e6b94-e78f-4726-bf94-4a5d9911d535,NA,NA,https://davesredistricting.org/maps#viewmap::f27e6b94-e78f-4726-bf94-4a5d9911d535
MN,2020,134,lower,MN 2020 State House,MN 2020 State House,cb969948-ce7a-460b-b391-d6bb2c5a2133,NA,NA,https://davesredistricting.org/maps#viewmap::cb969948-ce7a-460b-b391-d6bb2c5a2133
MN,2020,67,upper,MN 2020 State Senate,MN 2020 State Senate,dcd08710-5719-4426-9a04-a57819e006e4,NA,NA,https://davesredistricting.org/maps#viewmap::dcd08710-5719-4426-9a04-a57819e006e4
MN,2022,8,congress,MN 2022 Congressional,MN 2022 Congressional,4b212b88-2b8b-48aa-b2d2-e2f9980ac884,NA,NA,https://davesredistricting.org/maps#viewmap::4b212b88-2b8b-48aa-b2d2-e2f9980ac884
MN,2022,134,lower,MN 2022 State House,MN 2022 State House,0e589052-0df8-4b8a-bede-c8e9fcc8814c,NA,NA,https://davesredistricting.org/maps#viewmap::0e589052-0df8-4b8a-bede-c8e9fcc8814c
MN,2022,67,upper,MN 2022 State Senate,MN 2022 State Senate,8d55ed9f-d825-4a8a-95e4-864cbeede612,NA,NA,https://davesredistricting.org/maps#viewmap::8d55ed9f-d825-4a8a-95e4-864cbeede612
MN,2022,8,congress,MN 2022 Congressional,MN 2022 Congressional,eeb51954-eced-4c47-b041-20ce307a22b5,NA,NA,https://davesredistricting.org/maps#viewmap::eeb51954-eced-4c47-b041-20ce307a22b5
MN,2022,134,lower,MN 2022 State House,MN 2022 State House,e24abe92-7cbf-406a-aadc-8c8da64cded6,NA,NA,https://davesredistricting.org/maps#viewmap::e24abe92-7cbf-406a-aadc-8c8da64cded6
MN,2022,67,upper,MN 2022 State Senate,MN 2022 State Senate,edf127e5-daea-4672-8f9f-ba08d11344fc,NA,NA,https://davesredistricting.org/maps#viewmap::edf127e5-daea-4672-8f9f-ba08d11344fc
MO,115,8,congress,Districts for the 116th US Congress,MO 116th Congressional,53ed6fd8-fea1-4139-a1f0-c8d47943cfe4,e8549147-3908-4981-8672-115c49515fb5.png,NA,https://davesredistricting.org/maps#viewmap::53ed6fd8-fea1-4139-a1f0-c8d47943cfe4
MO,116,8,congress,Districts for the 116th US Congress,MO 116th Congressional,53ed6fd8-fea1-4139-a1f0-c8d47943cfe4,e8549147-3908-4981-8672-115c49515fb5.png,NA,https://davesredistricting.org/maps#viewmap::53ed6fd8-fea1-4139-a1f0-c8d47943cfe4
MO,2018,163,lower,Districts for the 2018 Lower State House,MO 2018 Lower State House,96a1e211-471b-433e-8725-f36b83956b3d,848906c1-102d-46c6-b4d8-bd80ccf2a29e.png,NA,https://davesredistricting.org/maps#viewmap::96a1e211-471b-433e-8725-f36b83956b3d
MO,2018,34,upper,Districts for the 2018 Upper State House,MO 2018 Upper State House,4fc88c53-829e-4939-a131-98e3a0c19125,c99915ca-c127-412e-b155-709f416144aa.png,NA,https://davesredistricting.org/maps#viewmap::4fc88c53-829e-4939-a131-98e3a0c19125
MO,2020,8,congress,MO 2020 Congressional,MO 2020 Congressional,e39cf7d4-f655-4f39-a7ff-178ca55673fa,NA,NA,https://davesredistricting.org/maps#viewmap::e39cf7d4-f655-4f39-a7ff-178ca55673fa
MO,2020,163,lower,MO 2020 State House,MO 2020 State House,fbee4d97-5a12-4790-ac8b-fef44ce6432d,NA,NA,https://davesredistricting.org/maps#viewmap::fbee4d97-5a12-4790-ac8b-fef44ce6432d
MO,2020,34,upper,MO 2020 State Senate,MO 2020 State Senate,3a0e988f-8c6f-4d02-9920-6936eea90b51,NA,NA,https://davesredistricting.org/maps#viewmap::3a0e988f-8c6f-4d02-9920-6936eea90b51
MO,2022,8,congress,MO 2022 Congressional,MO 2022 Congressional,68b2b598-69cd-430e-bee2-1dc4b76705f6,NA,NA,https://davesredistricting.org/maps#viewmap::68b2b598-69cd-430e-bee2-1dc4b76705f6
MO,2022,163,lower,MO 2022 State House,MO 2022 State House,ebb632d0-2569-4a2a-81f6-1d8d6adc0d5e,NA,NA,https://davesredistricting.org/maps#viewmap::ebb632d0-2569-4a2a-81f6-1d8d6adc0d5e
MO,2022,34,upper,MO 2022 State Senate,MO 2022 State Senate,8d25c96a-2a78-40b2-b2f0-c504ecaa6762,NA,NA,https://davesredistricting.org/maps#viewmap::8d25c96a-2a78-40b2-b2f0-c504ecaa6762
MO,2026,8,congress,MO 2026 Congressional,MO 2026 Congressional,84069d4a-8b18-470e-97e3-897ddb4b2428,NA,NA,https://davesredistricting.org/maps#viewmap::84069d4a-8b18-470e-97e3-897ddb4b2428
MS,115,4,congress,Districts for the 116th US Congress,MS 116th Congressional,f661b634-071c-4a35-b6b8-7bac141fec7b,a12f5d30-edbc-45cd-87f4-b97f4500521c.png,NA,https://davesredistricting.org/maps#viewmap::f661b634-071c-4a35-b6b8-7bac141fec7b
MS,116,4,congress,Districts for the 116th US Congress,MS 116th Congressional,f661b634-071c-4a35-b6b8-7bac141fec7b,a12f5d30-edbc-45cd-87f4-b97f4500521c.png,NA,https://davesredistricting.org/maps#viewmap::f661b634-071c-4a35-b6b8-7bac141fec7b
MS,2018,122,lower,Districts for the 2018 Lower State House,MS 2018 Lower State House,9c1c699b-28f2-4f42-9cf2-40af296222ed,b46ee932-1aff-4e5e-bc25-ff74d111bf18.png,NA,https://davesredistricting.org/maps#viewmap::9c1c699b-28f2-4f42-9cf2-40af296222ed
MS,2018,52,upper,Districts for the 2018 Upper State House,MS 2018 Upper State House,d1d44b19-b72b-475f-8d81-2355abfac5cd,99c3cd2a-8ede-43c5-9f0b-af0982102521.png,NA,https://davesredistricting.org/maps#viewmap::d1d44b19-b72b-475f-8d81-2355abfac5cd
MS,2020,4,congress,MS 2020 Congressional,MS 2020 Congressional,a1d6a28b-18ed-4481-8ae0-c3deaf673308,NA,NA,https://davesredistricting.org/maps#viewmap::a1d6a28b-18ed-4481-8ae0-c3deaf673308
MS,2020,122,lower,MS 2020 State House,MS 2020 State House,b424166f-ca91-4c6c-a6d7-612d49a34f14,NA,NA,https://davesredistricting.org/maps#viewmap::b424166f-ca91-4c6c-a6d7-612d49a34f14
MS,2020,52,upper,MS 2020 State Senate,MS 2020 State Senate,7d59c9be-3aa0-417d-802f-89436cb878a2,NA,NA,https://davesredistricting.org/maps#viewmap::7d59c9be-3aa0-417d-802f-89436cb878a2
MS,2022,4,congress,MS 2022 Congressional,MS 2022 Congressional,2a63d0b3-58db-4e59-9b3b-436b221e078a,NA,NA,https://davesredistricting.org/maps#viewmap::2a63d0b3-58db-4e59-9b3b-436b221e078a
MS,2022,122,lower,MS 2022 State House,MS 2022 State House,f8554517-7286-461a-9cfa-892b3d4731f7,NA,NA,https://davesredistricting.org/maps#viewmap::f8554517-7286-461a-9cfa-892b3d4731f7
MS,2022,52,upper,MS 2022 State Senate,MS 2022 State Senate,f3908ec6-949f-444b-9fd5-7b2173abcb6e,NA,NA,https://davesredistricting.org/maps#viewmap::f3908ec6-949f-444b-9fd5-7b2173abcb6e
MS,2025,122,lower,MS 2025 State House,MS 2025 State House,207ee204-8093-4d3d-b9fe-f226dc4b47ab,NA,NA,https://davesredistricting.org/maps#viewmap::207ee204-8093-4d3d-b9fe-f226dc4b47ab
MS,2025,52,upper,MS 2025 State Senate,MS 2025 State Senate,35ad63a3-a7d0-4d71-88e2-18232383d3b7,NA,NA,https://davesredistricting.org/maps#viewmap::35ad63a3-a7d0-4d71-88e2-18232383d3b7
MS,2025.1,122,lower,MS 2025 State House,MS 2025 State House,2f9cd385-813e-4c81-a474-7d74d2d5ed51,NA,NA,https://davesredistricting.org/maps#viewmap::2f9cd385-813e-4c81-a474-7d74d2d5ed51
MS,2025.1,52,upper,MS 2025 State Senate,MS 2025 State Senate,5cd7f259-4e1b-4da5-9352-f50ead4494d0,NA,NA,https://davesredistricting.org/maps#viewmap::5cd7f259-4e1b-4da5-9352-f50ead4494d0
MT,2018,100,lower,Districts for the 2018 Lower State House,MT 2018 Lower State House,809245ae-e9ec-4562-a7a4-724e3cacb4b4,85cc4204-9b2e-4f7d-a827-2c0b6e2e749a.png,NA,https://davesredistricting.org/maps#viewmap::809245ae-e9ec-4562-a7a4-724e3cacb4b4
MT,2018,50,upper,Districts for the 2018 Upper State House,MT 2018 Upper State House,7ce67766-6035-4077-91a1-2d8de7743a47,ec73b721-6fc2-42d3-a851-c8d31051b7c6.png,NA,https://davesredistricting.org/maps#viewmap::7ce67766-6035-4077-91a1-2d8de7743a47
MT,2020,100,lower,MT 2020 State House,MT 2020 State House,fe2f2ff5-f70e-459d-8a1f-48b3786c8e64,NA,NA,https://davesredistricting.org/maps#viewmap::fe2f2ff5-f70e-459d-8a1f-48b3786c8e64
MT,2020,50,upper,MT 2020 State Senate,MT 2020 State Senate,0312ecba-7989-480c-bed4-777e2e06c178,NA,NA,https://davesredistricting.org/maps#viewmap::0312ecba-7989-480c-bed4-777e2e06c178
MT,2022,2,congress,MT 2022 Congressional,MT 2022 Congressional,66ff2b64-826d-48a9-bbe4-08afa4c10873,NA,NA,https://davesredistricting.org/maps#viewmap::66ff2b64-826d-48a9-bbe4-08afa4c10873
MT,2022,100,lower,MT 2022 State House,MT 2022 State House,9cbcae13-e8cf-47fb-bf43-cd44f3dd05b9,NA,NA,https://davesredistricting.org/maps#viewmap::9cbcae13-e8cf-47fb-bf43-cd44f3dd05b9
MT,2022,50,upper,MT 2022 State Senate,MT 2022 State Senate,def19658-4d7c-4d36-a9c8-6d22ed5bf6ec,NA,NA,https://davesredistricting.org/maps#viewmap::def19658-4d7c-4d36-a9c8-6d22ed5bf6ec
NC,115,13,congress,Current proposed map in response to court ruling. Litigation ongoing.,NC 118th Congressional (Court Approved - HB 1029),78c45418-c70a-4d74-bcde-0d74fae1a27e,d64763f1-82c9-4331-b2b7-7361be11f461.png,NA,https://davesredistricting.org/maps#viewmap::78c45418-c70a-4d74-bcde-0d74fae1a27e
NC,116,13,congress,Current proposed map in response to court ruling. Litigation ongoing.,NC 118th Congressional (Court Approved - HB 1029),78c45418-c70a-4d74-bcde-0d74fae1a27e,d64763f1-82c9-4331-b2b7-7361be11f461.png,NA,https://davesredistricting.org/maps#viewmap::78c45418-c70a-4d74-bcde-0d74fae1a27e
NC,2018,120,lower,Districts for the 2018 Lower State House,NC 2018 Lower State House,241341aa-3e2b-4648-bf91-ec993801d541,a7758506-c647-4a6f-8bc5-6281f187ffd5.png,NA,https://davesredistricting.org/maps#viewmap::241341aa-3e2b-4648-bf91-ec993801d541
NC,2018,50,upper,Districts for the 2018 Upper State House,NC 2018 Upper State House,e32b833a-918f-4f46-bf66-1816c02bdc0d,a52af8f6-362a-4d62-8fb1-e5e91ffa0a16.png,NA,https://davesredistricting.org/maps#viewmap::e32b833a-918f-4f46-bf66-1816c02bdc0d
NC,2020,13,congress,Court Approved - HB 1029 for the 118th Congress converted to 2020 shapes (which makes it approximate).,NC 2020 Congressional (Court Approved - HB 1029 - Converted),87c865df-abda-40b4-aabb-59f9c388c3a0,d1e0b800-532c-4090-9e19-9d365d8e4d68.png,NA,https://davesredistricting.org/maps#viewmap::87c865df-abda-40b4-aabb-59f9c388c3a0
NC,2020,120,lower,NC 2020 State House,NC 2020 State House (Enacted 2019 - Converted),c5bbacee-c990-4a1b-a63b-85a146c4ca7d,NA,NA,https://davesredistricting.org/maps#viewmap::c5bbacee-c990-4a1b-a63b-85a146c4ca7d
NC,2020,50,upper,NC 2020 State Senate,NC 2020 State Senate (Enacted 2019 - Converted),e65f635d-af7b-4bb8-8591-72bb6c429f91,NA,NA,https://davesredistricting.org/maps#viewmap::e65f635d-af7b-4bb8-8591-72bb6c429f91
NC,2022,14,congress,NC 2022 Congressional,NC 2022 Congressional,6e8268a4-3b9b-4140-8f99-e3544a2f0816,NA,NA,https://davesredistricting.org/maps#viewmap::6e8268a4-3b9b-4140-8f99-e3544a2f0816
NC,2022,120,lower,NC 2022 State House,NC 2022 State House,e4b677ba-541f-40bd-ad9f-ba8707515f7d,NA,NA,https://davesredistricting.org/maps#viewmap::e4b677ba-541f-40bd-ad9f-ba8707515f7d
NC,2022,50,upper,NC 2022 State Senate,NC 2022 State Senate,8288b613-df48-45a7-9bd1-5d9f9ca3d685,NA,NA,https://davesredistricting.org/maps#viewmap::8288b613-df48-45a7-9bd1-5d9f9ca3d685
NC,2024,14,congress,NC 2024 Congressional,NC 2024 Congressional,4f133eac-adb1-4bb4-a7fe-92aa8a5f1ed4,NA,NA,https://davesredistricting.org/maps#viewmap::4f133eac-adb1-4bb4-a7fe-92aa8a5f1ed4
NC,2024,120,lower,NC 2024 State House,NC 2024 State House,42841eaa-3a00-49ce-ba28-77726707251a,NA,NA,https://davesredistricting.org/maps#viewmap::42841eaa-3a00-49ce-ba28-77726707251a
NC,2024,50,upper,NC 2024 State Senate,NC 2024 State Senate,9157bd00-cfbb-4d32-9b01-ce7f38e53d1f,NA,NA,https://davesredistricting.org/maps#viewmap::9157bd00-cfbb-4d32-9b01-ce7f38e53d1f
NC,2026,14,congress,NC 2026 Congressional,NC 2026 Congressional,95fee9e1-2c0b-49a4-95b2-6a92aa185c61,NA,NA,https://davesredistricting.org/maps#viewmap::95fee9e1-2c0b-49a4-95b2-6a92aa185c61
ND,2018,47,lower,Districts for the 2018 Lower State House,ND 2018 Lower State House,b25e629a-f6ac-4a6d-b7e2-5bc1fb48a999,d6510da1-f891-4d90-b452-aaa0fcb5ff7d.png,NA,https://davesredistricting.org/maps#viewmap::b25e629a-f6ac-4a6d-b7e2-5bc1fb48a999
ND,2018,47,upper,Districts for the 2018 Lower State House,ND 2018 Lower State House,b25e629a-f6ac-4a6d-b7e2-5bc1fb48a999,d6510da1-f891-4d90-b452-aaa0fcb5ff7d.png,NA,https://davesredistricting.org/maps#viewmap::b25e629a-f6ac-4a6d-b7e2-5bc1fb48a999
ND,2020,47,upper,ND 2020 State Legislatures,ND 2020 State Legislatures,ce9f5d2e-7854-4e25-af08-b844c8fd079b,NA,NA,https://davesredistricting.org/maps#viewmap::ce9f5d2e-7854-4e25-af08-b844c8fd079b
ND,2022,47,upper,ND 2022 State Senate,ND 2022 State Senate,93075ffd-76b7-4374-ad3c-b0eb3d94efd3,NA,NA,https://davesredistricting.org/maps#viewmap::93075ffd-76b7-4374-ad3c-b0eb3d94efd3
ND,2022,49,lower,ND 2022 State House,ND 2022 State House,3dae0952-0a39-4b93-99c7-d18f67b95bb7,NA,NA,https://davesredistricting.org/maps#viewmap::3dae0952-0a39-4b93-99c7-d18f67b95bb7
ND,2024,47,upper,ND 2024 State Senate,ND 2024 State Senate,0493b6e8-10fb-4def-be5e-f5ed0ff3f963,NA,NA,https://davesredistricting.org/maps#viewmap::0493b6e8-10fb-4def-be5e-f5ed0ff3f963
ND,2024,49,lower,ND 2024 State House,ND 2024 State House,16edefb5-c6c7-4cdf-822a-a6a714f7e52f,NA,NA,https://davesredistricting.org/maps#viewmap::16edefb5-c6c7-4cdf-822a-a6a714f7e52f
NE,115,3,congress,Districts for the 116th US Congress,NE 116th Congressional,08fd73da-d47e-4190-b8b1-f5a7fdb83b75,261ffcca-fa5f-47bd-8a4b-297a36638139.png,NA,https://davesredistricting.org/maps#viewmap::08fd73da-d47e-4190-b8b1-f5a7fdb83b75
NE,116,3,congress,Districts for the 116th US Congress,NE 116th Congressional,08fd73da-d47e-4190-b8b1-f5a7fdb83b75,261ffcca-fa5f-47bd-8a4b-297a36638139.png,NA,https://davesredistricting.org/maps#viewmap::08fd73da-d47e-4190-b8b1-f5a7fdb83b75
NE,2018,49,upper,Districts for the 2018 State House,NE 2018 State House,0073fbe7-166c-45dc-90f2-4c93cd372ff2,75190ed4-5305-47ea-91ba-80df9f10c24d.png,NA,https://davesredistricting.org/maps#viewmap::0073fbe7-166c-45dc-90f2-4c93cd372ff2
NE,2020,3,congress,NE 2020 Congressional,NE 2020 Congressional,a2b03bdb-525c-4082-945f-1150528ec151,NA,NA,https://davesredistricting.org/maps#viewmap::a2b03bdb-525c-4082-945f-1150528ec151
NE,2020,49,upper,NE 2020 State Senate,NE 2020 State Senate,9d437afb-1aea-4d50-84a0-f3e37e4e6b2d,NA,NA,https://davesredistricting.org/maps#viewmap::9d437afb-1aea-4d50-84a0-f3e37e4e6b2d
NE,2022,3,congress,NE 2022 Congressional,NE 2022 Congressional,9de1188c-2169-4c5a-a4f3-76179d22b279,NA,NA,https://davesredistricting.org/maps#viewmap::9de1188c-2169-4c5a-a4f3-76179d22b279
NE,2022,49,upper,NE 2022 State Senate,NE 2022 State Senate,ab1f2fef-b979-4431-844a-98d93a4d6730,NA,NA,https://davesredistricting.org/maps#viewmap::ab1f2fef-b979-4431-844a-98d93a4d6730
NH,115,2,congress,Districts for the 116th US Congress,NH 116th Congressional,f65ef53a-5a6d-430d-ae51-e51e6147f3cd,69fd80b4-e7e5-4bfa-bb2d-b5ee96d17743.png,NA,https://davesredistricting.org/maps#viewmap::f65ef53a-5a6d-430d-ae51-e51e6147f3cd
NH,116,2,congress,Districts for the 116th US Congress,NH 116th Congressional,f65ef53a-5a6d-430d-ae51-e51e6147f3cd,69fd80b4-e7e5-4bfa-bb2d-b5ee96d17743.png,NA,https://davesredistricting.org/maps#viewmap::f65ef53a-5a6d-430d-ae51-e51e6147f3cd
NH,2018,161,lower,Districts for the 2018 Lower State House,NH 2018 Lower State House,b40925fa-9ef6-470a-a9b6-da316a2ac38c,d331dd15-83c0-497d-9b48-31e10d2225ed.png,NA,https://davesredistricting.org/maps#viewmap::b40925fa-9ef6-470a-a9b6-da316a2ac38c
NH,2018,24,upper,Districts for the 2018 Upper State House,NH 2018 Upper State House,e9dce281-d65c-4252-a183-9b4634f1978c,e78aad4b-3aac-4419-b5f7-de4e6cfb69da.png,NA,https://davesredistricting.org/maps#viewmap::e9dce281-d65c-4252-a183-9b4634f1978c
NH,2020,2,congress,NH 2020 Congressional,NH 2020 Congressional,dc25e6e9-1e87-439f-8f67-9f20aa842487,NA,NA,https://davesredistricting.org/maps#viewmap::dc25e6e9-1e87-439f-8f67-9f20aa842487
NH,2020,161,lower,NH 2020 State House,NH 2020 State House,f9d72699-7ef6-4c38-afb0-c6f2d08f0702,NA,NA,https://davesredistricting.org/maps#viewmap::f9d72699-7ef6-4c38-afb0-c6f2d08f0702
NH,2020,24,upper,NH 2020 State Senate,NH 2020 State Senate,8617ea05-d3d5-45fe-ab73-de5b1122db69,NA,NA,https://davesredistricting.org/maps#viewmap::8617ea05-d3d5-45fe-ab73-de5b1122db69
NH,2022,2,congress,NH 2022 Congressional,NH 2022 Congressional,a1a2b285-f862-402c-9e89-b45791a46473,NA,NA,https://davesredistricting.org/maps#viewmap::a1a2b285-f862-402c-9e89-b45791a46473
NH,2022,164,lower,NH 2022 State House,NH 2022 State House,dfddaed1-5a76-4ca7-8a11-ddc533ea9f6e,NA,NA,https://davesredistricting.org/maps#viewmap::dfddaed1-5a76-4ca7-8a11-ddc533ea9f6e
NH,2022,24,upper,NH 2022 State Senate,NH 2022 State Senate,15bf8903-0c56-4536-9265-7b7177726a73,NA,NA,https://davesredistricting.org/maps#viewmap::15bf8903-0c56-4536-9265-7b7177726a73
